Threshold,f1_score
0.0,0.0
0.05,0.010788690476190476
0.1,0.010788690476190476
0.15,0.010788690476190476
0.2,0.010788690476190476
0.25,0.05386715195632393
0.3,0.05386715195632393
0.35,0.05386715195632393
0.4,0.05386715195632393
0.45,0.05386715195632393
0.5,0.05386715195632393
0.55,0.24971363115693013
0.6,0.24971363115693013
0.65,0.24971363115693013
0.7,0.24971363115693013
0.75,0.24971363115693013
0.8,0.24971363115693013
0.85,0.24971363115693013
0.9,0.24971363115693013
0.95,0.24971363115693013
1.0,0.24971363115693013
