Threshold,recall
0.0,0.0
0.05,0.005423602019824201
0.1,0.005423602019824201
0.15,0.005423602019824201
0.2,0.005423602019824201
0.25,0.02767907237703385
0.3,0.02767907237703385
0.35,0.02767907237703385
0.4,0.02767907237703385
0.45,0.02767907237703385
0.5,0.02767907237703385
0.55,0.14269683934916777
0.6,0.14269683934916777
0.65,0.14269683934916777
0.7,0.14269683934916777
0.75,0.14269683934916777
0.8,0.14269683934916777
0.85,0.14269683934916777
0.9,0.14269683934916777
0.95,0.14269683934916777
1.0,0.14269683934916777
