Time,Number of duplicates
(0,0)
(0.05,2437)
(0.1,6520)
(0.15,9377)
(0.2,11427)
(0.25,13381)
(0.3,15116)
(0.35,16819)
(0.4,18165)
(0.45,19514)
(0.5,20840)
(0.55,22216)
(0.6,23567)
(0.65,24944)
(0.7,26159)
(0.75,27130)
(0.8,27906)
(0.85,28638)
(0.9,29258)
(0.95,29763)
(1.0,30287)
(1.05,30769)
(1.1,31158)
(1.15,31490)
(1.2,31772)
(1.25,32023)
(1.3,32216)
(1.35,32351)
(1.4,32462)
(1.45,32493)
(1.5,32520)
(1.55,32552)
(1.6,32603)
(1.65,32689)
(1.7,32944)
(1.75,33845)
(1.8,35231)
(1.85,36669)
(1.9,37939)
(1.95,39137)
(2.0,40314)
(2.05,41396)
(2.1,42410)
(2.15,43322)
(2.2,44180)
(2.25,44933)
(2.3,45605)
(2.35,46269)
(2.4,46848)
(2.45,47341)
(2.5,47791)
(2.55,48233)
(2.6,48612)
(2.65,48937)
(2.7,49243)
(2.75,49462)
(2.8,49710)
(2.85,49972)
(2.9,50218)
(2.95,50474)
(3.0,50702)
